ElectDist,Shape_Leng,Shape_Area,coun_dist
"56074",2841.89862271000,500449.25237399997,"36"
"56075",2192.74500200000,251061.36939700000,"36"
"56076",2844.42617626000,501571.85220999998,"35"
"56077",3768.85101073000,529418.30226100003,"35"
"56078",4385.01208014000,738939.57768200000,"35"
"56079",8231.16549594000,1356287.15934000001,"36"
"56080",4358.32713169000,664081.71131100005,"36"
"56081",3730.01750111000,375763.59667000000,"36"
"56082",3627.54710678000,721926.73782399995,"36"
"56083",3555.37789365000,522320.92318600003,"41"
"56084",3364.63234208000,409200.30128700001,"36"
"56085",5051.84512743000,768501.08864400000,"36"
"56086",3800.26788911000,886013.76399899996,"36"
"56087",4511.66443539000,711959.73013000004,"36"
"56088",3205.65078461000,642403.29509000003,"36"
"56089",4411.17296837000,650989.57820800005,"41"
"56090",3507.63607741000,750605.67806299997,"36"
"56091",6615.69238837000,1229486.98582999990,"36"
"56092",3219.31915031000,644707.30474599998,"36"
"57002",2443.75037362000,384959.33033800003,"35"
"57005",2160.61198912000,289465.65517300001,"33"
"57006",3606.06876228000,395166.60151399998,"35"
"57007",2643.79824925000,365793.62796600000,"35"
"57008",3933.87467097000,464778.95948100003,"35"
"57009",3078.84512725000,298793.75128400000,"35"
"57010",3069.41735416000,548280.46530599997,"35"
"57011",3252.78841469000,426770.94414699997,"35"
"57012",2574.81409433000,376151.81602700002,"35"
"57013",3604.50630789000,508418.41850299999,"35"
"57014",8884.79693586000,2993975.59642999992,"35"
"57015",4364.48932946000,784562.63281099999,"35"
"57018",3876.19640301000,774824.27302700002,"35"
"57019",2209.79072031000,304095.29421099997,"33"
"57020",1687.72104262000,151755.50543900000,"33"
"57021",4259.42739263000,840304.12807099998,"36"
"57022",4630.19884986000,1187799.91940000001,"33"
"57023",4272.52309030000,1053705.60214999993,"35"
"57024",3733.21402557000,839815.43061000004,"35"
"57025",5371.75759484000,854237.86131199996,"35"
"57026",2942.76442830000,501640.41723199998,"35"
