"KRONOS_BADGE_NUMBER","EMPLOYEE_ID","BOROUGH_NAME","DEPARTMENT_NAME","WORK_LOC_ID","LOCATION_NAME","NYC_TITLE"
385427,1884555,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385429,1884609,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385430,1884572,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385434,1884676,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385442,1884617,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385435,1884573,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385436,1882544,BRONX,Bronx Property Management Department,"0415",Bronx Neighborhood 04,Plumber's Helper
385438,1882543,MANHATTAN,Manhattan Property Management Department,"0207",East River Houses,Housing Assistant
385443,1884602,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385475,1492342,BROOKLYN,Brooklyn Property Management Department,"0568",Howard Houses,Maintenance Worker
385478,1882777,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,Plumber's Helper
385480,1827127,BROOKLYN,Brooklyn Property Management Department,"0509",Whitman Houses,Caretaker
385483,1791741,BRONX,Bronx Property Management Department,"0535",Forest Consolidation,Housing Assistant
385484,959734,STATEN ISLAND,Queens-SI Property Mgmt Dept,"0583",Todt Hill,Caretaker
385488,606824,MANHATTAN,Manhattan Property Management Department,"0774",P.S. 139,Caretaker
385489,1883024,BROOKLYN,Brooklyn Property Management Department,"0510",Ingersoll,Maintenance Worker
385497,1884569,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385501,1885578,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385505,1884621,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385506,1444175,QUEENS,Queens-SI Property Mgmt Dept,"0493",Queens-Staten Island Floating Staff,City Seasonal Aide
385513,1885587,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385514,1086086,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385522,1643358,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385516,1832990,BRONX,Bronx Property Management Department,"0489",Bronx Floating Staff,City Seasonal Aide
385519,1621685,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385521,1885579,BROOKLYN,Brooklyn Property Management Department,"0491",Brooklyn Floating Staff,City Seasonal Aide
385524,1858261,MANHATTAN,Manhattan Property Management Department,"0487",Manhattan Floating Staff,City Seasonal Aide
