OBJECTID,DEVELOPMEN,BOROUGH,TDS_NUM,BLDG_NUM,SH_NUM,HOUSE_NUM,STREET,ADDRESS,LOCATION_C,PROGRAM,RESIDENTIA,FACILITY,CONS_TDS,HAS_MO
"3162",PELHAM PARKWAY,BRONX,"039","004","006","930",MACE AVENUE,930 MACE AVENUE,"039004006",FEDERAL,RESIDENTIAL,,"039",false
"3163",PELHAM PARKWAY,BRONX,"039","004","007","950",MACE AVENUE,950 MACE AVENUE,"039004007",FEDERAL,RESIDENTIAL,,"039",false
"3164",PELHAM PARKWAY,BRONX,"039","005","008","2430",BRONXWOOD AVENUE,2430 BRONXWOOD AVENUE,"039005008",FEDERAL,RESIDENTIAL,,"039",false
"3165",PELHAM PARKWAY,BRONX,"039","005","008","2420",BRONXWOOD AVENUE,2420 BRONXWOOD AVENUE,"039005008",FEDERAL,,DEVELOPMENT MANAGEMENT OFFICE,"039",true
"3166",PELHAM PARKWAY,BRONX,"039","005","009","925",WARING AVENUE,925 WARING AVENUE,"039005009",FEDERAL,RESIDENTIAL,,"039",false
"3167",PELHAM PARKWAY,BRONX,"039","005","009","915",WARING AVENUE,915 WARING AVENUE,"039005009",FEDERAL,,DEVELOPMENT MAINTENANCE OFFICE/ ELEVATOR SHOP/ PROJECT STOREROOM/ STOREROOM,"039",false
"3168",PELHAM PARKWAY,BRONX,"039","006","010","935",WARING AVENUE,935 WARING AVENUE,"039006010",FEDERAL,RESIDENTIAL,BOILER/ EXTERMINATOR SHOP/ PLUMBERS SHOP,"039",false
"3169",PELHAM PARKWAY,BRONX,"039","006","011","955",WARING AVENUE,955 WARING AVENUE,"039006011",FEDERAL,RESIDENTIAL,ROOFTOP LEASE LOCATION/ CARPENTERS SHOP/ GLAZER SHOP,"039",false
"3170",PELHAM PARKWAY,BRONX,"039","007","012","975",WARING AVENUE,975 WARING AVENUE,"039007012",FEDERAL,,SENIOR CENTER/ LAUNDRY ROOM,"039",false
"3171",PELHAM PARKWAY,BRONX,"039","007","012","981",WARING AVENUE,981 WARING AVENUE,"039007012",FEDERAL,RESIDENTIAL,,"039",false
"3172",PELHAM PARKWAY,BRONX,"039","007","013","985",WARING AVENUE,985 WARING AVENUE,"039007013",FEDERAL,RESIDENTIAL,BRICKLAYERS SHOP/ PLASTERERS SHOP/ CONTRACTOR PAINT SHOP/ NYCHA PAINT SHOP A & B,"039",false
"3173",PELHAM PARKWAY,BRONX,"039","007","013","991",WARING AVENUE,991 WARING AVENUE,"039007013",FEDERAL,,MAINTENANCE SHOP,"039",false
"3174",PELHAM PARKWAY,BRONX,"039","008","014","2455",WILLIAMSBRIDGE ROAD,2455 WILLIAMSBRIDGE ROAD,"039008014",FEDERAL,RESIDENTIAL,,"039",false
"3175",PELHAM PARKWAY,BRONX,"039","008","015","2445",WILLIAMSBRIDGE ROAD,2445 WILLIAMSBRIDGE ROAD,"039008015",FEDERAL,RESIDENTIAL,ROOFTOP LEASE LOCATION,"039",false
"3176",PELHAM PARKWAY,BRONX,"039","009","016","2425",WILLIAMSBRIDGE ROAD,2425 WILLIAMSBRIDGE ROAD,"039009016",FEDERAL,RESIDENTIAL,NORC,"039",false
"3177",PELHAM PARKWAY,BRONX,"039","009","017","2415",WILLIAMSBRIDGE ROAD,2415 WILLIAMSBRIDGE ROAD,"039009017",FEDERAL,RESIDENTIAL,,"039",false
"3178",PELHAM PARKWAY,BRONX,"039","010","018","2384",PAULDING AVENUE,2384 PAULDING AVENUE,"039010018",FEDERAL,RESIDENTIAL,,"039",false
"3179",PELHAM PARKWAY,BRONX,"039","011","019","2385",WILLIAMSBRIDGE ROAD,2385 WILLIAMSBRIDGE ROAD,"039011019",FEDERAL,RESIDENTIAL,,"039",false
"3180",PELHAM PARKWAY,BRONX,"039","012","020","2354",PAULDING AVENUE,2354 PAULDING AVENUE,"039012020",FEDERAL,RESIDENTIAL,,"039",false
"3181",PELHAM PARKWAY,BRONX,"039","013","021","2355",WILLIAMSBRIDGE ROAD,2355 WILLIAMSBRIDGE ROAD,"039013021",FEDERAL,RESIDENTIAL,,"039",false
"3182",PELHAM PARKWAY,BRONX,"039","014","022","2324",PAULDING AVENUE,2324 PAULDING AVENUE,"039014022",FEDERAL,RESIDENTIAL,,"039",false
"3183",PELHAM PARKWAY,BRONX,"039","015","023","2325",WILLIAMSBRIDGE ROAD,2325 WILLIAMSBRIDGE ROAD,"039015023",FEDERAL,RESIDENTIAL,,"039",false
"3184",PELHAM PARKWAY,BRONX,"039","016","024","780",ASTOR AVENUE,780 ASTOR AVENUE,"039016024",FEDERAL,RESIDENTIAL,,"039",false
"3185",PELHAM PARKWAY,BRONX,"039","016","025","790",ASTOR AVENUE,790 ASTOR AVENUE,"039016025",FEDERAL,RESIDENTIAL,,"039",false
"3186",PELHAM PARKWAY,BRONX,"039","016","025","2280",WALLACE AVENUE,2280 WALLACE AVENUE,"039016025",FEDERAL,,COMMUNITY CENTER,"039",false
"3187",PELHAM PARKWAY,BRONX,"039","017","026","810",ASTOR AVENUE,810 ASTOR AVENUE,"039017026",FEDERAL,RESIDENTIAL,,"039",false
"3188",PELHAM PARKWAY,BRONX,"039","017","026","816",ASTOR AVENUE,816 ASTOR AVENUE,"039017026",FEDERAL,,STORAGE ROOM/ X-SHOP,"039",false
"3189",PELHAM PARKWAY,BRONX,"039","017","027","820",ASTOR AVENUE,820 ASTOR AVENUE,"039017027",FEDERAL,RESIDENTIAL,REFRIGERATOR & STOVE SHOP,"039",false
"3190",PELHAM PARKWAY,BRONX,"039","018","028","840",ASTOR AVENUE,840 ASTOR AVENUE,"039018028",FEDERAL,RESIDENTIAL,,"039",false
"3191",PELHAM PARKWAY,BRONX,"039","018","029","860",ASTOR AVENUE,860 ASTOR AVENUE,"039018029",FEDERAL,RESIDENTIAL,PLASTERERS SHOP,"039",false
"3192",PELHAM PARKWAY,BRONX,"039","019","030","2250",WALLACE AVENUE,2250 WALLACE AVENUE,"039019030",FEDERAL,RESIDENTIAL,,"039",false
"3193",PELHAM PARKWAY,BRONX,"039","020","031","2255",BRONXWOOD AVENUE,2255 BRONXWOOD AVENUE,"039020031",FEDERAL,RESIDENTIAL,,"039",false
"3194",PELHAM PARKWAY,BRONX,"039","020","032","2245",BRONXWOOD AVENUE,2245 BRONXWOOD AVENUE,"039020032",FEDERAL,RESIDENTIAL,,"039",false
"3195",PELHAM PARKWAY,BRONX,"039","021","033","2222",WALLACE AVENUE,2222 WALLACE AVENUE,"039021033",FEDERAL,,DAY CARE CENTER,"039",false
"3196",PELHAM PARKWAY,BRONX,"039","021","033","2220",WALLACE AVENUE,2220 WALLACE AVENUE,"039021033",FEDERAL,RESIDENTIAL,,"039",false
"3197",PELHAM PARKWAY,BRONX,"039","021","034","785",PELHAM PARKWAY NORTH,785 PELHAM PARKWAY NORTH,"039021034",FEDERAL,,COMMUNITY CENTER,"039",false
"3198",PELHAM PARKWAY,BRONX,"039","021","034","795",PELHAM PARKWAY NORTH,795 PELHAM PARKWAY NORTH,"039021034",FEDERAL,RESIDENTIAL,,"039",false
"3199",PELHAM PARKWAY,BRONX,"039","022","035","805",PELHAM PARKWAY NORTH,805 PELHAM PARKWAY NORTH,"039022035",FEDERAL,RESIDENTIAL,,"039",false
"3200",PELHAM PARKWAY,BRONX,"039","022","036","815",PELHAM PARKWAY NORTH,815 PELHAM PARKWAY NORTH,"039022036",FEDERAL,RESIDENTIAL,,"039",false
"3201",PELHAM PARKWAY,BRONX,"039","023","037","2225",BRONXWOOD AVENUE,2225 BRONXWOOD AVENUE,"039023037",FEDERAL,RESIDENTIAL,,"039",false
"3202",PELHAM PARKWAY,BRONX,"039","023","038","2215",BRONXWOOD AVENUE,2215 BRONXWOOD AVENUE,"039023038",FEDERAL,RESIDENTIAL,,"039",false
"3203",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","001","020","879",PENNSYLVANIA AVENUE,879 PENNSYLVANIA AVENUE,"194001020",FEDERAL,,GLAZIERS SHOP/ X-SHOP,"194",false
"3204",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","001","020","881",PENNSYLVANIA AVENUE,881 PENNSYLVANIA AVENUE,"194001020",FEDERAL,,BRICK LAYERS SHOP,"194",false
"3205",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","001","020","877",PENNSYLVANIA AVENUE,877 PENNSYLVANIA AVENUE,"194001020",FEDERAL,,GROUNDS SHOP,"194",false
"3206",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","001","020","875",PENNSYLVANIA AVENUE,875 PENNSYLVANIA AVENUE,"194001020",FEDERAL,RESIDENTIAL,BOILER/ ROOFTOP LEASE LOCATION,"194",false
"3207",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","001","020","895",PENNSYLVANIA AVENUE,895 PENNSYLVANIA AVENUE,"194001020",FEDERAL,,COMMUNITY CENTER / SENIOR CENTER,"194",false
"3208",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","002","021","155",WORTMAN AVENUE,155 WORTMAN AVENUE,"194002021",FEDERAL,RESIDENTIAL,MAINTENANCE SHOP,"194",false
"3209",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","003","022","920",VERMONT STREET,920 VERMONT STREET,"194003022",FEDERAL,RESIDENTIAL,CARPENTERS SHOP,"194",false
"3210",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","004","800","520",STANLEY AVENUE,520 STANLEY AVENUE,"194004800",FEDERAL,,,"194",false
"3211",PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,"194","004","801","530",STANLEY AVENUE,530 STANLEY AVENUE,"194004801",FEDERAL,,PUBLIC SCHOOL #4,"194",false
"3212",PINK,BROOKLYN,"089","000","800","1259",STANLEY AVENUE,1259 STANLEY AVENUE,"089000800",FEDERAL,,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),"089",false
"3213",PINK,BROOKLYN,"089","001","001","2628",LINDEN BOULEVARD,2628 LINDEN BOULEVARD,"089001001",FEDERAL,RESIDENTIAL,,"089",false
"3214",PINK,BROOKLYN,"089","002","002","2632",LINDEN BOULEVARD,2632 LINDEN BOULEVARD,"089002002",FEDERAL,,DEVELOPMENT MANAGEMENT OFFICE,"089",true
"3215",PINK,BROOKLYN,"089","002","002","2630",LINDEN BOULEVARD,2630 LINDEN BOULEVARD,"089002002",FEDERAL,RESIDENTIAL,MAIN STOREROOM,"089",false
"3216",PINK,BROOKLYN,"089","003","003","2676",LINDEN BOULEVARD,2676 LINDEN BOULEVARD,"089003003",FEDERAL,RESIDENTIAL,NYCHA PAINT SHOP/ CONTRACTOR PAINT SHOP/ EXTERMINATOR SHOP,"089",false
"3217",PINK,BROOKLYN,"089","004","004","2678",LINDEN BOULEVARD,2678 LINDEN BOULEVARD,"089004004",FEDERAL,RESIDENTIAL,,"089",false
"3218",PINK,BROOKLYN,"089","005","005","2724",LINDEN BOULEVARD,2724 LINDEN BOULEVARD,"089005005",FEDERAL,RESIDENTIAL,ROOFTOP LEASE LOCATION/ BRICKLAYERS SHOP,"089",false
"3219",PINK,BROOKLYN,"089","006","006","2726",LINDEN BOULEVARD,2726 LINDEN BOULEVARD,"089006006",FEDERAL,RESIDENTIAL,ROOFTOP LEASE LOCATION,"089",false
"3220",PINK,BROOKLYN,"089","007","007","1209",LORING AVENUE,1209 LORING AVENUE,"089007007",FEDERAL,RESIDENTIAL,,"089",false
"3221",PINK,BROOKLYN,"089","008","008","1211",LORING AVENUE,1211 LORING AVENUE,"089008008",FEDERAL,RESIDENTIAL,,"089",false
"3222",PINK,BROOKLYN,"089","009","009","1257",LORING AVENUE,1257 LORING AVENUE,"089009009",FEDERAL,RESIDENTIAL,BOILER/ CARPENTERS SHOP,"089",false
"3223",PINK,BROOKLYN,"089","010","010","1259",LORING AVENUE,1259 LORING AVENUE,"089010010",FEDERAL,RESIDENTIAL,LAUNDRY ROOM/ PLUMBERS SHOP,"089",false
"3224",PINK,BROOKLYN,"089","011","011","1305",LORING AVENUE,1305 LORING AVENUE,"089011011",FEDERAL,RESIDENTIAL,PLASTERERS SHOP,"089",false
"3225",PINK,BROOKLYN,"089","012","012","1307",LORING AVENUE,1307 LORING AVENUE,"089012012",FEDERAL,RESIDENTIAL,ROOFTOP LEASE LOCATION,"089",false
"3226",PINK,BROOKLYN,"089","013","013","1210",LORING AVENUE,1210 LORING AVENUE,"089013013",FEDERAL,RESIDENTIAL,,"089",false
"3227",PINK,BROOKLYN,"089","014","014","1212",LORING AVENUE,1212 LORING AVENUE,"089014014",FEDERAL,RESIDENTIAL,,"089",false
"3228",PINK,BROOKLYN,"089","015","015","1258",LORING AVENUE,1258 LORING AVENUE,"089015015",FEDERAL,RESIDENTIAL,,"089",false
"3229",PINK,BROOKLYN,"089","016","016","1260",LORING AVENUE,1260 LORING AVENUE,"089016016",FEDERAL,RESIDENTIAL,,"089",false
"3230",PINK,BROOKLYN,"089","017","017","1306",LORING AVENUE,1306 LORING AVENUE,"089017017",FEDERAL,RESIDENTIAL,,"089",false
"3231",PINK,BROOKLYN,"089","018","018","1308",LORING AVENUE,1308 LORING AVENUE,"089018018",FEDERAL,RESIDENTIAL,,"089",false
"3232",PINK,BROOKLYN,"089","019","019","1165",STANLEY AVENUE,1165 STANLEY AVENUE,"089019019",FEDERAL,RESIDENTIAL,,"089",false
"3233",PINK,BROOKLYN,"089","020","020","1167",STANLEY AVENUE,1167 STANLEY AVENUE,"089020020",FEDERAL,RESIDENTIAL,,"089",false
"3234",PINK,BROOKLYN,"089","021","021","1237",STANLEY AVENUE,1237 STANLEY AVENUE,"089021021",FEDERAL,RESIDENTIAL,,"089",false
"3235",PINK,BROOKLYN,"089","022","022","1239",STANLEY AVENUE,1239 STANLEY AVENUE,"089022022",FEDERAL,RESIDENTIAL,,"089",false
"3236",PINK,BROOKLYN,"089","023","023","2700",LINDEN BOULEVARD,2700 LINDEN BOULEVARD,"089023023",FEDERAL,,DAY CARE CENTER,"089",false
"3237",PINK,BROOKLYN,"089","023","024","2702",LINDEN BOULEVARD,2702 LINDEN BOULEVARD,"089023024",FEDERAL,,COMMUNITY CENTER/ SENIOR CENTER,"089",false
"3238",PINK,BROOKLYN,"089","024","025","820",AUTUMN AVENUE,820 AUTUMN AVENUE,"089024025",FEDERAL,,GARAGE,"089",false
"3239",POLO GROUNDS TOWERS,MANHATTAN,"149","001","001","2931",FREDERICK DOUGLASS BOULEVARD,2931 FREDERICK DOUGLASS BOULEVARD,"149001001",FEDERAL,RESIDENTIAL,COMMUNITY OPERATIONS SPACE (VACANT),"149",false
"3240",POLO GROUNDS TOWERS,MANHATTAN,"149","001","001","2929",FREDERICK DOUGLASS BOULEVARD,2929 FREDERICK DOUGLASS BOULEVARD,"149001001",FEDERAL,,ROOFTOP LEASE LOCATION,"149",false
"3241",POLO GROUNDS TOWERS,MANHATTAN,"149","001","001","2933",FREDERICK DOUGLASS BOULEVARD,2933 FREDERICK DOUGLASS BOULEVARD,"149001001",FEDERAL,,,"149",false
"3242",POLO GROUNDS TOWERS,MANHATTAN,"149","001","002","2939",FREDERICK DOUGLASS BOULEVARD,2939 FREDERICK DOUGLASS BOULEVARD,"149001002",FEDERAL,,,"149",false
"3243",POLO GROUNDS TOWERS,MANHATTAN,"149","001","002","2935",FREDERICK DOUGLASS BOULEVARD,2935 FREDERICK DOUGLASS BOULEVARD,"149001002",FEDERAL,,,"149",false
"3244",POLO GROUNDS TOWERS,MANHATTAN,"149","001","002","2937",FREDERICK DOUGLASS BOULEVARD,2937 FREDERICK DOUGLASS BOULEVARD,"149001002",FEDERAL,RESIDENTIAL,,"149",false
"3245",POLO GROUNDS TOWERS,MANHATTAN,"149","002","003","2965",FREDERICK DOUGLASS BOULEVARD,2965 FREDERICK DOUGLASS BOULEVARD,"149002003",FEDERAL,,SENIOR CENTER/ COMPUTER LAB,"149",false
"3246",POLO GROUNDS TOWERS,MANHATTAN,"149","002","003","2967",FREDERICK DOUGLASS BOULEVARD,2967 FREDERICK DOUGLASS BOULEVARD,"149002003",FEDERAL,,DAY CARE CENTER,"149",false
"3247",POLO GROUNDS TOWERS,MANHATTAN,"149","002","003","2969",FREDERICK DOUGLASS BOULEVARD,2969 FREDERICK DOUGLASS BOULEVARD,"149002003",FEDERAL,,TENANT ASSOCIATION ROOM,"149",false
"3248",POLO GROUNDS TOWERS,MANHATTAN,"149","002","003","2973",FREDERICK DOUGLASS BOULEVARD,2973 FREDERICK DOUGLASS BOULEVARD,"149002003",FEDERAL,,,"149",false
"3249",POLO GROUNDS TOWERS,MANHATTAN,"149","002","003","2971",FREDERICK DOUGLASS BOULEVARD,2971 FREDERICK DOUGLASS BOULEVARD,"149002003",FEDERAL,RESIDENTIAL,,"149",false
"3250",POLO GROUNDS TOWERS,MANHATTAN,"149","002","004","2987",FREDERICK DOUGLASS BOULEVARD,2987 FREDERICK DOUGLASS BOULEVARD,"149002004",FEDERAL,,MAINTENANCE SHOP,"149",false
"3251",POLO GROUNDS TOWERS,MANHATTAN,"149","002","004","2975",FREDERICK DOUGLASS BOULEVARD,2975 FREDERICK DOUGLASS BOULEVARD,"149002004",FEDERAL,,DEVELOPMENT MANAGEMENT OFFICE/ STOREROOM,"149",true
"3252",POLO GROUNDS TOWERS,MANHATTAN,"149","002","004","2977",FREDERICK DOUGLASS BOULEVARD,2977 FREDERICK DOUGLASS BOULEVARD,"149002004",FEDERAL,,CARPENTERS SHOP,"149",false
"3253",POLO GROUNDS TOWERS,MANHATTAN,"149","002","004","2979",FREDERICK DOUGLASS BOULEVARD,2979 FREDERICK DOUGLASS BOULEVARD,"149002004",FEDERAL,RESIDENTIAL,,"149",false
"3254",POLO GROUNDS TOWERS,MANHATTAN,"149","002","004","2981",FREDERICK DOUGLASS BOULEVARD,2981 FREDERICK DOUGLASS BOULEVARD,"149002004",FEDERAL,,BRICKLAYERS SHOP,"149",false
"3255",POLO GROUNDS TOWERS,MANHATTAN,"149","003","005","2947",FREDERICK DOUGLASS BOULEVARD,2947 FREDERICK DOUGLASS BOULEVARD,"149003005",FEDERAL,,,"149",false
"3256",POLO GROUNDS TOWERS,MANHATTAN,"149","003","005","2949",FREDERICK DOUGLASS BOULEVARD,2949 FREDERICK DOUGLASS BOULEVARD,"149003005",FEDERAL,RESIDENTIAL,,"149",false
"3257",POLO GROUNDS TOWERS,MANHATTAN,"149","003","005","2951",FREDERICK DOUGLASS BOULEVARD,2951 FREDERICK DOUGLASS BOULEVARD,"149003005",FEDERAL,,PLASTERERS SHOP,"149",false
"3258",POLO GROUNDS TOWERS,MANHATTAN,"149","003","005","2945",FREDERICK DOUGLASS BOULEVARD,2945 FREDERICK DOUGLASS BOULEVARD,"149003005",FEDERAL,,LAUNDRY ROOM,"149",false
"3259",POLO GROUNDS TOWERS,MANHATTAN,"149","003","006","2955",FREDERICK DOUGLASS BOULEVARD,2955 FREDERICK DOUGLASS BOULEVARD,"149003006",FEDERAL,RESIDENTIAL,,"149",false
"3260",POLO GROUNDS TOWERS,MANHATTAN,"149","003","006","2957",FREDERICK DOUGLASS BOULEVARD,2957 FREDERICK DOUGLASS BOULEVARD,"149003006",FEDERAL,,,"149",false
"3261",POLO GROUNDS TOWERS,MANHATTAN,"149","003","006","2953",FREDERICK DOUGLASS BOULEVARD,2953 FREDERICK DOUGLASS BOULEVARD,"149003006",FEDERAL,,PLASTERERS STORAGE,"149",false
"3262",POLO GROUNDS TOWERS,MANHATTAN,"149","004","007","2989",FREDERICK DOUGLASS BOULEVARD,2989 FREDERICK DOUGLASS BOULEVARD,"149004007",FEDERAL,,ELEVATOR SERVICE AREA #4,"149",false
"3263",POLO GROUNDS TOWERS,MANHATTAN,"149","004","007","2991",FREDERICK DOUGLASS BOULEVARD,2991 FREDERICK DOUGLASS BOULEVARD,"149004007",FEDERAL,RESIDENTIAL,,"149",false
"3264",POLO GROUNDS TOWERS,MANHATTAN,"149","004","007","2993",FREDERICK DOUGLASS BOULEVARD,2993 FREDERICK DOUGLASS BOULEVARD,"149004007",FEDERAL,,,"149",false
"3265",POLO GROUNDS TOWERS,MANHATTAN,"149","004","008","2999",FREDERICK DOUGLASS BOULEVARD,2999 FREDERICK DOUGLASS BOULEVARD,"149004008",FEDERAL,RESIDENTIAL,BOILER,"149",false
"3266",POLO GROUNDS TOWERS,MANHATTAN,"149","004","008","2997",FREDERICK DOUGLASS BOULEVARD,2997 FREDERICK DOUGLASS BOULEVARD,"149004008",FEDERAL,,,"149",false
"3267",POLO GROUNDS TOWERS,MANHATTAN,"149","004","008","2995",FREDERICK DOUGLASS BOULEVARD,2995 FREDERICK DOUGLASS BOULEVARD,"149004008",FEDERAL,,,"149",false
"3268",POLO GROUNDS TOWERS,MANHATTAN,"149","005","009","2927",FREDERICK DOUGLASS BOULEVARD,2927 FREDERICK DOUGLASS BOULEVARD,"149005009",FEDERAL,,COMMERCIAL SPACE (STORE #1),"149",false
"3269",POLO GROUNDS TOWERS,MANHATTAN,"149","006","010",2981A,FREDERICK DOUGLASS BOULEVARD,2981A FREDERICK DOUGLASS BOULEVARD,"149006010",FEDERAL,,TRANSFORMER BUILDING,"149",false
"3270",POLO GROUNDS TOWERS,MANHATTAN,"149","007","011",2999GAR,FREDERICK DOUGLASS BOULEVARD,2999GAR FREDERICK DOUGLASS BOULEVARD,"149007011",FEDERAL,,GARAGE,"149",false
"3271",POLO GROUNDS TOWERS,MANHATTAN,"149","008","012","3005",FREDERICK DOUGLASS BOULEVARD,3005 FREDERICK DOUGLASS BOULEVARD,"149008012",FEDERAL,,COMMUNITY CENTER,"149",false
"3272",POMONOK,QUEENS,"053","001","001",65-14,PARSONS BOULEVARD,65-14 PARSONS BOULEVARD,"053001001",FEDERAL,RESIDENTIAL,,"053",false
"3273",POMONOK,QUEENS,"053","001","002",65-12,PARSONS BOULEVARD,65-12 PARSONS BOULEVARD,"053001002",FEDERAL,RESIDENTIAL,,"053",false
"3274",POMONOK,QUEENS,"053","001","003",65-10,PARSONS BOULEVARD,65-10 PARSONS BOULEVARD,"053001003",FEDERAL,RESIDENTIAL,,"053",false
"3275",POMONOK,QUEENS,"053","002","004",65-16,PARSONS BOULEVARD,65-16 PARSONS BOULEVARD,"053002004",FEDERAL,RESIDENTIAL,,"053",false
"3276",POMONOK,QUEENS,"053","002","005",65-18,PARSONS BOULEVARD,65-18 PARSONS BOULEVARD,"053002005",FEDERAL,RESIDENTIAL,,"053",false
"3277",POMONOK,QUEENS,"053","003","006",65-20,PARSONS BOULEVARD,65-20 PARSONS BOULEVARD,"053003006",FEDERAL,RESIDENTIAL,,"053",false
"3278",POMONOK,QUEENS,"053","003","007",65-22,PARSONS BOULEVARD,65-22 PARSONS BOULEVARD,"053003007",FEDERAL,RESIDENTIAL,,"053",false
"3279",POMONOK,QUEENS,"053","003","008",65-24,PARSONS BOULEVARD,65-24 PARSONS BOULEVARD,"053003008",FEDERAL,RESIDENTIAL,,"053",false
"3280",POMONOK,QUEENS,"053","004","009",65-52,PARSONS BOULEVARD,65-52 PARSONS BOULEVARD,"053004009",FEDERAL,RESIDENTIAL,STORAGE,"053",false
"3281",POMONOK,QUEENS,"053","004","010",65-54,PARSONS BOULEVARD,65-54 PARSONS BOULEVARD,"053004010",FEDERAL,RESIDENTIAL,,"053",false
"3282",POMONOK,QUEENS,"053","004","011",65-56,PARSONS BOULEVARD,65-56 PARSONS BOULEVARD,"053004011",FEDERAL,RESIDENTIAL,,"053",false
"3283",POMONOK,QUEENS,"053","004","012",65-58,PARSONS BOULEVARD,65-58 PARSONS BOULEVARD,"053004012",FEDERAL,RESIDENTIAL,,"053",false
"3284",POMONOK,QUEENS,"053","004","013",65-60,PARSONS BOULEVARD,65-60 PARSONS BOULEVARD,"053004013",FEDERAL,RESIDENTIAL,,"053",false
"3285",POMONOK,QUEENS,"053","004","014",65-62,PARSONS BOULEVARD,65-62 PARSONS BOULEVARD,"053004014",FEDERAL,RESIDENTIAL,,"053",false
"3286",POMONOK,QUEENS,"053","004","015",65-64,PARSONS BOULEVARD,65-64 PARSONS BOULEVARD,"053004015",FEDERAL,RESIDENTIAL,,"053",false
"3287",POMONOK,QUEENS,"053","005","016",65-40,PARSONS BOULEVARD,65-40 PARSONS BOULEVARD,"053005016",FEDERAL,RESIDENTIAL,,"053",false
"3288",POMONOK,QUEENS,"053","005","017",65-38,PARSONS BOULEVARD,65-38 PARSONS BOULEVARD,"053005017",FEDERAL,RESIDENTIAL,,"053",false
"3289",POMONOK,QUEENS,"053","005","018",65-36,PARSONS BOULEVARD,65-36 PARSONS BOULEVARD,"053005018",FEDERAL,RESIDENTIAL,,"053",false
"3290",POMONOK,QUEENS,"053","005","019",65-34,PARSONS BOULEVARD,65-34 PARSONS BOULEVARD,"053005019",FEDERAL,RESIDENTIAL,,"053",false
"3291",POMONOK,QUEENS,"053","005","020",65-32,PARSONS BOULEVARD,65-32 PARSONS BOULEVARD,"053005020",FEDERAL,RESIDENTIAL,,"053",false
"3292",POMONOK,QUEENS,"053","006","021",65-48,PARSONS BOULEVARD,65-48 PARSONS BOULEVARD,"053006021",FEDERAL,RESIDENTIAL,,"053",false
"3293",POMONOK,QUEENS,"053","006","021",65-50,PARSONS BOULEVARD,65-50 PARSONS BOULEVARD,"053006021",FEDERAL,,,"053",false
"3294",POMONOK,QUEENS,"053","006","022",65-46,PARSONS BOULEVARD,65-46 PARSONS BOULEVARD,"053006022",FEDERAL,RESIDENTIAL,,"053",false
"3295",POMONOK,QUEENS,"053","006","023",65-44,PARSONS BOULEVARD,65-44 PARSONS BOULEVARD,"053006023",FEDERAL,RESIDENTIAL,,"053",false
"3296",POMONOK,QUEENS,"053","006","024",65-42,PARSONS BOULEVARD,65-42 PARSONS BOULEVARD,"053006024",FEDERAL,RESIDENTIAL,,"053",false
"3297",POMONOK,QUEENS,"053","007","025",65-30,PARSONS BOULEVARD,65-30 PARSONS BOULEVARD,"053007025",FEDERAL,RESIDENTIAL,,"053",false
"3298",POMONOK,QUEENS,"053","007","026",65-28,PARSONS BOULEVARD,65-28 PARSONS BOULEVARD,"053007026",FEDERAL,RESIDENTIAL,,"053",false
"3299",POMONOK,QUEENS,"053","007","027",65-26,PARSONS BOULEVARD,65-26 PARSONS BOULEVARD,"053007027",FEDERAL,RESIDENTIAL,,"053",false
"3300",POMONOK,QUEENS,"053","008","028",67-11,KISSENA BOULEVARD,67-11 KISSENA BOULEVARD,"053008028",FEDERAL,RESIDENTIAL,,"053",false
"3301",POMONOK,QUEENS,"053","008","029",67-15,KISSENA BOULEVARD,67-15 KISSENA BOULEVARD,"053008029",FEDERAL,RESIDENTIAL,,"053",false
"3302",POMONOK,QUEENS,"053","008","030",67-19,KISSENA BOULEVARD,67-19 KISSENA BOULEVARD,"053008030",FEDERAL,RESIDENTIAL,,"053",false
"3303",POMONOK,QUEENS,"053","008","031",67-17,KISSENA BOULEVARD,67-17 KISSENA BOULEVARD,"053008031",FEDERAL,RESIDENTIAL,,"053",false
"3304",POMONOK,QUEENS,"053","008","032",67-21,KISSENA BOULEVARD,67-21 KISSENA BOULEVARD,"053008032",FEDERAL,RESIDENTIAL,,"053",false
"3305",POMONOK,QUEENS,"053","008","033",67-23,KISSENA BOULEVARD,67-23 KISSENA BOULEVARD,"053008033",FEDERAL,RESIDENTIAL,,"053",false
"3306",POMONOK,QUEENS,"053","008","034",67-25,KISSENA BOULEVARD,67-25 KISSENA BOULEVARD,"053008034",FEDERAL,RESIDENTIAL,,"053",false
